,Win,Show,Bookmaker,Model,Model ratio
0,1.382,0.345,0.743,0.653,-12.2
1,8.423,2.106,0.322,0.289,-10.4
2,10.442,2.61,0.277,0.247,-10.8
3,13.807,3.452,0.225,0.211,-5.9
4,27.268,6.817,0.128,0.121,-5.1
5,27.268,6.817,0.128,0.15,17.3
6,33.998,8.5,0.105,0.127,20.8
7,38.037,9.509,0.095,0.141,48.6
8,40.729,10.182,0.089,0.107,19.8
9,44.767,11.192,0.082,0.093,13.2
10,54.19,13.547,0.069,0.097,41.3
11,54.19,13.547,0.069,0.09,30.9
12,67.651,16.913,0.056,0.087,56.1
13,74.381,18.595,0.051,0.064,26.0
14,89.188,22.297,0.043,0.061,43.1
15,89.188,22.297,0.043,0.054,26.5
16,108.033,27.008,0.036,0.054,52.0
17,108.033,27.008,0.036,0.053,48.0
18,134.955,33.739,0.029,0.053,83.6
19,134.955,33.739,0.029,0.051,78.7
20,134.955,33.739,0.029,0.049,68.7
21,168.608,42.152,0.023,0.05,115.8
22,168.608,42.152,0.023,0.033,41.8
23,202.26,50.565,0.019,0.036,84.2
24,202.26,50.565,0.019,0.027,40.0
